id,age,gender,activities,bike,run,swim,other,1s_critical_power,15s_critical_power,2m_critical_power,3m_critical_power,5m_critical_power,8m_critical_power,10m_critical_power,20m_critical_power,30m_critical_power,1m_peak_wpk,5m_peak_wpk,10m_peak_wpk,20m_peak_wpk,30m_peak_wpk,20s_peak,20s_peak_wpk,60s_peak,60s_peak_wpk,180s_peak,180s_peak_wpk,240s_peak,240s_peak_wpk,420s_peak,420s_peak_wpk,720s_peak,720s_peak_wpk,weightkg, weightstd
d783fd97-c906-4af3-acf0-7cbec92c1e35,50,M,244,58,0,0,186,951.0,778.0,393.605,373.4,354.94167,336.12604,323.37333,278.84917,257.75139,5.69325,4.43677,4.04217,3.48561,3.22189,696,8.7,455,5.6875,373,4.6625,359,4.4875,342,4.275,297,3.7125,80.0,0.0
f0df93bb-e244-4cf0-97ff-7a29d23cea2b,36,M,44,24,0,0,20,937.0,824.8,465.46667,405.80556,347.77333,337.5625,330.27333,288.41167,282.79278,6.92437,4.79687,4.55549,3.97809,3.90059,790,10.89655172413793,502,6.924137931034482,406,5.6,381,5.255172413793104,342,4.7172413793103445,305,4.206896551724138,72.5,0.0
cfd343a7-2fd8-4cf4-9861-0de8f8c961a6,-1,M,7,2,5,0,0,803.0,362.6,202.04167,201.11667,195.64333,191.1625,182.69667,168.50833,166.20111,2.20533,1.95643,1.82697,1.68508,1.66201,342,3.42,221,2.21,201,2.01,200,2.0,196,1.96,177,1.77,100.0,0.0
243676fb-071a-4dd9-8d13-e56089ac7a68,46,M,198,112,0,6,80,2454.0,729.93333,365.31667,324.97778,302.0,293.89375,288.23167,275.03917,267.13444,6.07567,4.20028,3.96309,3.7817,3.67301,714,10.077628793225124,435,6.082036775106082,325,4.606661941885188,308,4.252303330970943,297,4.083653013240935,288,3.9599059522336346,72.02015656565658,0.9480046374473318
fb904f76-1b3b-447e-8c64-63327ac057a8,53,M,249,247,1,0,1,2607.0,922.0,512.61667,442.02778,387.97667,343.28333,335.48667,322.2725,296.495,7.66686,4.51136,3.90101,3.74735,3.44762,896,10.418604651162791,659,7.662790697674419,442,5.1395348837209305,411,4.77906976744186,362,4.209302325581396,329,3.8255813953488373,86.0,0.0
ae16be60-3393-4269-840f-97482dcfa5d6,30,M,260,258,0,0,2,821.0,667.53333,366.725,349.35,336.75333,321.5125,318.66333,302.67417,286.02139,7.40104,5.26177,4.97911,4.72928,4.46908,574,8.96875,474,7.40625,349,5.453125,340,5.3125,324,5.0625,315,4.921875,64.00384615384615,0.1388890538889559
d3ffeac9-d053-4cff-95f2-ae9ea2f264b4,24,M,1581,947,62,5,567,1409.0,1105.73333,545.25,498.82778,433.66,412.30625,410.11167,354.0075,347.77944,10.04104,6.47254,6.12107,5.28369,5.19074,1038,15.492537313432836,673,10.044776119402986,499,7.447761194029851,482,7.1940298507462686,425,6.343283582089552,399,5.955223880597015,67.0,0.0
1f5b361c-0d13-4396-ba5c-af985df636ad,63,M,146,88,0,0,58,1285.0,751.06667,632.1,598.54444,257.67667,241.81042,237.855,223.41917,204.51889,8.01149,2.9618,2.73397,2.56804,2.35079,509,5.850574712643678,346,3.9770114942528734,268,3.0804597701149423,265,3.045977011494253,247,2.839080459770115,231,2.6551724137931036,86.96575342465754,0.2974462237492243
6208549a-1a82-4e3d-898d-7117d2d05a43,28,M,94,79,2,0,13,1292.0,971.46667,427.11667,369.75,351.03,333.07292,331.575,328.555,305.24444,6.8887,4.03483,3.81121,3.77649,3.50856,851,9.781609195402298,599,6.885057471264368,370,4.252873563218391,357,4.103448275862069,340,3.9080459770114944,330,3.793103448275862,87.0,0.0
ea13bdd0-4876-494c-b8e4-2cb6ab09fd91,52,M,163,133,10,0,20,1061.0,759.2,361.475,341.59444,323.16,271.71667,267.765,240.59667,228.70611,6.02136,4.55155,3.77134,3.38869,3.22121,613,8.633802816901408,428,6.028169014084507,342,4.816901408450704,334,4.704225352112676,284,4.0,266,3.7464788732394365,71.0,0.0
9fdc2d77-ba24-4965-9ac3-ad9b0dd948f9,38,M,104,51,53,0,0,412.0,396.93333,340.39167,326.38333,309.96667,126.77458,105.6175,76.07958,56.92489,5.00579,4.30509,1.2725,0.91662,0.68584,391,5.430555555555555,360,5.0,326,4.527777777777778,318,4.416666666666667,142,1.7108433734939759,90,1.0843373493975903,78.0,4.7295805351886075
efa5d3f8-901d-4318-9730-93659b73416b,28,M,67,2,0,0,65,1000.0,928.16988,529.61569,430.52532,351.59435,293.29335,273.96909,220.74069,185.94862,11.24756,6.06197,4.56615,3.80587,3.20601,896,14.933333333333334,665,11.241379310344827,431,7.431034482758621,374,6.431034482758621,297,5.120689655172414,267,4.603448275862069,58.02985074626866,0.24433888871261047
ac21c976-14a3-4abd-9ed1-cc5ccd4ab83f,18,M,49,49,0,0,0,951.0,801.93333,331.96667,301.87778,287.43333,282.34583,271.80333,238.28,223.09667,6.62264,4.29005,4.05677,3.55642,3.38025,750,11.194029850746269,444,6.626865671641791,302,4.5606060606060606,289,4.313432835820896,277,4.134328358208955,260,3.8805970149253732,66.9795918367347,0.14285714285714285
9694c0f7-58c5-4ec8-b0cb-d964a805704c,38,M,31,20,10,0,1,1792.0,715.46667,355.16667,326.02222,275.98333,271.78333,270.22333,241.885,231.61667,7.03142,4.52432,4.42989,3.96533,3.79699,638,10.459016393442623,429,7.032786885245901,326,5.344262295081967,284,4.655737704918033,273,4.475409836065574,262,4.295081967213115,61.0,0.0
1df27d1f-4524-4989-8b97-c7b52d8de364,30,M,71,16,0,0,55,1088.0,691.8,259.36667,238.90556,209.91,200.03854,193.8975,168.92375,133.47111,4.08246,2.45509,2.26781,1.97572,1.56107,660,7.719298245614035,349,4.081871345029239,239,2.7953216374269005,224,2.6198830409356724,199,2.327485380116959,185,2.1637426900584797,85.5,0.0
df6a9ee7-feae-4c89-a50f-1d5b9f1e4c87,37,M,867,867,0,0,0,1387.0,954.0,408.88333,372.25556,315.02,305.675,287.56,264.10417,231.49667,7.70796,4.4377,4.05087,3.72045,3.2611,849,11.959902630333355,547,7.705614533324318,372,5.240381364527689,338,4.761421777447202,314,4.423332657155092,279,3.930286023395767,70.98720000000003,2.8438114458858245e-14
cff11714-94f5-449e-a2ce-5f4e83d9b8fd,35,M,1036,520,204,11,301,2095.0,1265.33333,688.09167,634.9,595.35,505.19167,510.875,411.29833,350.62833,11.26389,8.26875,7.09549,5.71248,4.86984,1073,14.902777777777779,811,11.26388888888889,635,8.819444444444445,627,8.708333333333334,492,6.833333333333333,524,7.277777777777778,72.0,0.0
14af4992-a4f3-45f7-9e24-de753af98c72,49,M,3712,2287,0,0,1425,1375.5,906.92776,468.68177,444.13784,438.54646,394.82279,341.10989,324.57333,309.71705,8.40735,6.85229,5.32984,5.07146,4.83933,6619,103.421875,533,8.400666923175582,444,6.9375,439,6.859375,404,6.3125,337,5.265625,63.997498383620695,0.4248946438405684
